country,GDP_per_capita,Life_expectancy,School_enrollment,CO2_equivalent,Electricity_access,Unemployment_rate
Albania,0.6726012541783354,1.473736493425925,0.5248004877480549,-0.27863731592646845,0.6093361654488483,0.5965602514881413
Argentina,1.5906959281943736,1.116155596581893,0.5579575099800507,0.9789316054154059,0.6093361654488483,0.5686836652075568
Armenia,0.028524548192136755,0.6563370212127382,-0.3810143903247148,-0.19550453782621582,0.6093361654488483,1.6201634421055688
Azerbaijan,0.01433026985920584,0.09339338083991798,-0.44015617368605503,0.3187878274584988,0.6093361654488483,-0.09236729372698443
Bangladesh,-0.7109601370226001,0.29717406665699647,-0.4112020674520782,-0.8016112035450143,0.4608684703141036,-0.3587609637453817
Belarus,0.8611279677425386,0.4290271484652343,1.284157044727831,1.501273338100127,0.6093361654488483,-0.5921099163188159
Belize,0.3836021802325965,0.3263905941997499,-0.3799557143051947,-0.4979690915288129,0.48431073796695784,0.45936986057919615
Benin,-1.094886201598328,-1.7731568504764623,-1.1520921672689481,-0.766002646066278,-1.695820153748505,-0.988489915623086
Bhutan,-0.3657827556109678,0.45005551895619095,-0.8200126104648738,-0.18010298775360045,0.6093361654488483,-0.4384754717050313
Bolivia,-0.22325576401557154,-1.2674720467175853,0.6303465828825645,-0.008354331962011675,0.49993891640219434,0.011465159666429539
Bosnia and Herzegovina,0.7100905591405174,1.1459233793613048,-0.9917590744387237,1.3555875096597496,0.6093361654488483,1.2588640907049562
Brazil,1.055657452407188,0.8640482016846619,0.8670510214949715,0.4125791618262585,0.5976150316224211,0.9188637041029922
Burkina Faso,-1.2321626589997816,-1.7180313268108875,-1.6540655201211187,-0.7513861743825347,-2.5749051907305462,-0.5073838872300723
Burundi,-1.4406286883213615,-1.3293963849685808,-1.333435247134752,-0.9854437890675873,-2.9421673839585996,-1.0649156128417678
Cambodia,-0.7721417681363131,0.04690418921528275,-0.9900706197458753,-0.3742459652385834,0.07797809865081456,-1.1992870231155979
China,2.3565532481011515,1.5095680838085501,1.0111479596226343,1.5837125071254425,0.6093361654488483,-0.44317377276355685
Colombia,0.42063309767992574,0.9101698898181941,0.8666185585656612,-0.06866779541073564,0.5976150316224211,1.2768742447626373
"Congo, Dem. Rep.",-1.3562057083650043,-1.722808872195238,-1.6385197741133821,-0.9905312473774383,-2.5123924769896013,-0.38757721023767144
Cote d'Ivoire,-0.7362663472491059,-1.7757293749141896,-1.5195066528235344,-0.8491769780643608,-0.5666842618026825,-0.820917177869009
Cuba,1.9823188608259674,1.3971120155307748,1.2245255073727608,-0.29946433855322435,0.6054291208400394,-0.8765137403948943
Djibouti,-0.4927435361043278,-1.0296972879734028,-1.5236221516014288,-0.6031466562655288,-0.7776646706783726,3.112030638222707
Dominican Republic,1.078000795372355,0.5204324375025747,-0.030992819244898613,-0.09055071440251669,0.6093361654488483,-0.2668308730335655
Ecuador,0.4660156623266494,0.4043013343137643,-0.08011845657799983,-0.14879858579185457,0.5663586747519487,-0.26839697338640744
Fiji,0.15738319166437212,-0.529157533089978,-0.7804800838742191,-0.4980093160396683,0.4960318717933849,-0.4347168308582109
"Gambia, The",-1.270568534524438,-0.9896394074430841,-0.47222901691415975,-0.9427943970341005,-0.8675266966809813,-0.31162134312484224
Georgia,0.04030460720007706,0.6808477113693998,1.1619312726104063,0.13717261053616348,0.6093361654488483,0.6114382048401389
Ghana,-0.7305090596949877,-1.0096683477082449,1.8237600661299256,-0.7440331820962816,0.038907652562723834,-0.7285172570513403
Guatemala,0.10501892603329945,0.03073403560671511,-0.34750020544427795,-0.5166401006647907,0.47649664874933956,-0.7618751945668716
Guinea,-1.148533842755154,-1.9208932539002046,-1.2978261915190408,-0.6005940198709738,-1.5512595032225691,-0.28546746723238353
Honduras,-0.6894458563736819,0.19482434438457785,-0.608852371948455,-0.5870879828693385,0.33975008744102203,0.4936674583064324
India,-0.8361003538914453,0.06472810853382033,0.07959210961236923,-0.4657116464117499,0.47258960414053075,0.004574318113925501
"Iran, Islamic Rep.",-0.36181740595750905,0.7969788145582128,0.4404042230278827,1.6612860379619796,0.6093361654488483,0.29085746261341394
Jordan,-0.06177368451975986,1.061948831644077,-0.8564487000643234,-0.38676427160639093,0.6054291208400394,1.782724658730552
Kazakhstan,1.6807260936175763,0.2556461721622606,0.4929386786939485,2.9632015434141876,0.6093361654488483,-0.46040087664481716
Kyrgyz Republic,-1.0841505436479386,0.3668159782211716,-0.5657508779523532,-0.31366929125950005,0.6054291208400394,-0.2951772894200028
Lao PDR,-0.5883394147418199,-0.26914881313401573,-0.2963803797739234,0.09807402494260518,0.5819868531871847,-0.8583469763019289
Liberia,-1.3084784673233172,-1.568641157677178,2.214796962910733,-0.9096383886541907,-2.2193641313289207,-0.5838095844487542
Malaysia,2.1112808690160074,1.1490471590356868,1.2093431335671216,1.163714717646021,0.6093361654488483,-0.5152143889942815
Maldives,1.1727015741875069,1.637091795221579,0.5539838791069316,-0.3904288719506606,0.6093361654488483,-0.37739755794419955
Mali,-1.1852981212828348,-2.011299112711749,-1.615312073442873,-0.6025110834541961,-1.3207438713028337,-0.6737037447018758
Mauritius,1.810454242438129,0.8036073226477545,1.375971897954212,0.046632421475585425,0.589800942404803,0.12469421517689463
Mexico,1.7026059804688118,0.11856736998053082,0.38089113555283577,0.22868142255951127,0.5858938977959941,-0.5308753925226999
Moldova,0.06773442999725865,0.020260186110255395,1.1277727445560874,0.1349296885263499,0.6093361654488483,-1.0373522466317515
Mongolia,-0.06938450226576216,0.2839484227271478,0.8647414905689623,4.513348272572179,0.589800942404803,-0.2218837929070047
Morocco,-0.3378259788305336,0.6117570550418778,0.05824345261370479,-0.3628393847944827,0.6093361654488483,0.5260857356102586
Namibia,-0.114292607662972,-1.0534012631496013,-0.7576699003967339,-0.032729703648365686,-1.2543241129530798,2.0630566218892414
Nepal,-1.1117197124910385,-0.12821122429569548,1.4469775246049317,-0.6669020099170551,0.21472465995913212,0.8155010808154309
Nicaragua,-0.8246027683619647,0.1768166733204901,0.3316338738122446,-0.3992182556269713,0.06234992021557805,-0.25837393112821966
Niger,-1.3221254396914672,-1.821667311302169,-1.6210926088888624,-0.7076878954584717,-2.567091101512928,-1.1336674183315245
North Macedonia,0.903868179391067,0.8436741666778531,-0.8724563552789405,0.36177094494710843,0.6093361654488483,1.369587385650874
Paraguay,0.430073337938166,0.5358675841289363,-0.23716583434342603,0.6054174389965479,0.5976150316224211,-0.04413140285945575
Peru,0.7111938914679591,0.7401995251826681,1.4046140458817273,-0.4729999001358254,0.4608684703141036,-0.10192050587931965
Philippines,-0.3526356506211476,0.05388675554625502,0.9630121039910802,-0.589157151425127,0.4686825595317219,-0.831253440197765
Senegal,-0.9993700847712084,-0.4240515346342831,-1.3200145735600146,-0.694347591411622,-0.7854787598959909,-0.6887383080891575
Sierra Leone,-1.2248255781938637,-1.8576826534303448,-1.1956990675643546,-0.8958858880998742,-2.2701557112434387,-0.6766793353722753
South Africa,0.508835674130781,-0.8551331296990804,-1.3000377595595844,1.4338063555771932,0.21863170456794098,3.34945145171353
Sri Lanka,-0.12563786184636674,1.3090949294114063,0.4202759623951379,-0.6891676869452368,0.6093361654488483,-0.3861677199201139
